City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tiksi,71.6872,128.8694,-8.46,91,98,3.0,RU,1746064280
83,hamilton,39.1834,-84.5333,21.97,84,99,0.45,US,1746064131
84,fort saskatchewan,53.7168,-113.2187,14.56,28,75,9.83,CA,1746064402
85,nuuk,64.1835,-51.7216,-2.66,100,100,4.12,GL,1746064338
86,antsiranana,-12.2787,49.2917,24.73,87,7,5.06,MG,1746064404
87,greymouth,-42.4667,171.2,11.57,62,100,2.65,NZ,1746064405
88,bathsheba,13.2167,-59.5167,27.34,78,20,6.17,BB,1746064407
89,arkhangel'sk,64.5401,40.5433,-4.94,93,0,2.0,RU,1746064408
90,namsos,64.4662,11.4957,3.95,100,100,0.0,NO,1746064409
91,qaqortoq,60.7167,-46.0333,0.41,99,100,3.27,GL,1746064410
92,utrik,11.2278,169.8474,27.25,77,87,6.08,MH,1746064411
93,uzgen,40.7699,73.3007,17.59,68,100,0.12,KG,1746064412
94,villa ojo de agua,-29.5,-63.6938,15.53,48,16,4.32,AR,1746064413
95,punta arenas,-53.15,-70.9167,5.06,93,0,3.09,CL,1746064414
96,ust-nera,64.5667,143.2,0.01,77,100,1.19,RU,1746064416
97,boguchany,58.3814,97.4531,3.55,63,16,4.35,RU,1746064418
98,cambria,35.5641,-121.0808,11.7,90,85,0.45,US,1746064164
99,rio grande,-32.035,-52.0986,15.35,76,6,1.91,BR,1746064420
100,vimmerby,57.6659,15.8552,4.14,79,30,2.16,SE,1746064421
101,bugojno,44.0572,17.4508,7.98,91,18,0.58,BA,1746064282
102,chimore,-16.9833,-65.1333,25.46,80,65,0.55,BO,1746064423
103,port-vila,-17.7338,168.3219,29.78,74,40,2.57,VU,1746064424
104,la mira,18.035,-102.3266,25.62,71,0,3.09,MX,1746064425
105,port mathurin,-19.6833,63.4167,25.71,65,90,11.1,MU,1746064426
106,griffith,41.5284,-87.4237,13.34,73,100,2.06,US,1746064427
107,moissala,8.3404,17.7663,27.47,50,100,2.0,TD,1746064428
108,puerto natales,-51.7236,-72.4875,5.62,88,90,0.3,CL,1746064429
109,muynoq,43.7683,59.0214,12.75,52,5,1.95,UZ,1746064430
110,khalabat,34.06,72.8894,28.41,24,13,2.23,PK,1746064431
111,dadhar,29.4753,67.6514,34.88,12,35,2.04,PK,1746064432
112,mirny,62.5353,113.9611,3.34,92,91,4.48,RU,1746064433
113,nogliki,51.8333,143.1667,3.32,89,95,4.14,RU,1746064434
114,ad dabbah,18.05,30.95,26.68,14,3,4.07,SD,1746064437
115,longyearbyen,78.2186,15.6401,-3.09,74,75,9.77,SJ,1746064438
116,tolanaro,-25.0319,46.9987,22.79,87,30,5.98,MG,1746064439
117,udachny,66.4167,112.4,1.9,97,94,3.62,RU,1746064440
118,mount isa,-20.7333,139.5,23.87,41,2,7.2,AU,1746064441
119,strathfieldsaye,-36.8,144.3667,15.58,50,0,2.32,AU,1746064442
120,carnarvon,-24.8667,113.6333,28.13,31,0,6.93,AU,1746064443
121,petrolina,-9.3986,-40.5008,30.03,54,0,4.63,BR,1746064444
122,banda aceh,5.5577,95.3222,28.37,75,75,2.6,ID,1746064240
123,papatowai,-46.5619,169.4708,8.86,73,100,3.17,NZ,1746064446
124,upington,-28.4478,21.2561,8.21,81,0,3.09,ZA,1746064447
125,hithadhoo,-0.6,73.0833,28.69,70,100,2.23,MV,1746064448
126,fisterra,42.9049,-9.2629,13.18,82,40,5.09,ES,1746064450
127,margaret river,-33.95,115.0667,22.68,56,94,6.69,AU,1746064451
128,tazovsky,67.4667,78.7,-7.91,93,100,2.75,RU,1746064452
129,flying fish cove,-10.4217,105.6791,28.82,69,9,6.69,CX,1746064453
130,dunedin,-45.8742,170.5036,8.96,79,100,6.41,NZ,1746064225
131,kingston,17.997,-76.7936,27.53,69,20,5.66,JM,1746063842
132,taksimo,56.3444,114.8794,7.81,48,72,2.18,RU,1746064456
133,tianshui,34.5439,105.6897,22.88,29,0,1.14,CN,1746064457
134,basco,20.4487,121.9702,27.18,82,5,5.74,PH,1746064458
135,touros,-5.1989,-35.4608,25.73,77,2,4.28,BR,1746064459
136,praia da vitoria,38.7333,-27.0667,15.14,82,75,6.86,PT,1746064460
137,zhaqsy,51.9083,67.3133,7.29,46,39,3.98,KZ,1746064461
138,whitehorse,60.7161,-135.0538,9.43,43,75,9.77,CA,1746064293
139,gewane,10.1664,40.6453,26.28,58,87,3.18,ET,1746064464
140,santiago de cao,-7.9589,-79.2392,13.07,88,41,3.6,PE,1746064465
141,cockburn town,21.4612,-71.1419,24.71,72,49,8.02,TC,1746064466
142,savelugu,9.6244,-0.8253,26.18,70,98,3.19,GH,1746064467
143,baruun-urt,46.6806,113.2792,7.26,50,100,4.75,MN,1746064468
144,susuman,62.7833,148.1667,-2.35,76,98,1.21,RU,1746064469
145,iqaluit,63.7506,-68.5145,-7.15,73,100,10.8,CA,1746064470
146,adh dhibiyah,24.5014,45.9686,26.3,21,4,4.0,SA,1746064471
147,freetown,8.484,-13.2299,25.35,88,100,3.25,SL,1746064218
148,alofi,-19.0595,-169.9187,29.94,66,40,4.12,NU,1746064473
149,pointe aux piments,-20.0628,57.5131,25.85,74,94,9.61,MU,1746064474
150,crane,31.3974,-102.3501,24.29,11,0,4.44,US,1746064475
151,iskateley,67.6803,53.1512,-9.08,89,73,5.24,RU,1746064477
152,bijapur,16.8333,75.7,30.66,28,1,3.8,IN,1746064478
153,arawa,-6.2132,155.5367,30.43,68,12,2.41,PG,1746064479
154,bairnsdale,-37.8333,147.6167,16.7,74,33,0.45,AU,1746064480
155,constitucion,-35.3333,-72.4167,11.38,89,100,3.22,CL,1746064468
156,choibalsan,48.0667,114.5,7.29,59,100,4.14,MN,1746064006
157,bathurst,-33.4166,149.5806,13.55,57,84,5.1,AU,1746064483
158,aoulef,26.9667,1.0833,28.48,18,54,5.72,DZ,1746064484
159,porbandar,21.6422,69.6093,27.83,77,0,5.41,IN,1746064485
160,magadan,59.5667,150.8,-0.78,88,98,1.68,RU,1746064486
161,riviere-du-loup,47.8304,-69.5342,1.49,71,6,5.14,CA,1746064488
162,peace river,56.2501,-117.286,13.17,47,20,3.09,CA,1746064490
163,mandla,22.6,80.3833,28.36,43,8,4.76,IN,1746064491
164,morehead city,34.7229,-76.726,22.0,81,0,7.2,US,1746064463
165,bafra,41.5678,35.9069,11.29,80,100,1.92,TR,1746064493
166,shimoda,34.6667,138.95,18.84,69,100,2.48,JP,1746064488
167,arraial do cabo,-22.9661,-42.0278,23.16,69,100,3.16,BR,1746064358
168,yemetsk,63.4721,41.7941,-5.06,89,25,1.04,RU,1746064496
169,formosa do rio preto,-11.0483,-45.1931,24.53,71,17,0.78,BR,1746064497
170,olney,39.1532,-77.0669,21.03,60,0,0.0,US,1746064402
171,shahrak,34.1074,64.3052,14.43,35,0,1.03,AF,1746064499
172,kayangel,8.0823,134.7173,28.3,76,100,3.48,PW,1746064500
173,zhalantun,48.0,122.7167,10.58,29,4,4.78,CN,1746064501
174,san antonio,29.4241,-98.4936,27.36,73,0,7.72,US,1746063618
175,pisco,-13.7,-76.2167,19.03,82,0,5.66,PE,1746064359
176,lalago,-3.45,33.95,19.09,81,100,1.62,TZ,1746064504
177,puerto el triunfo,13.2833,-88.55,28.33,77,0,2.66,SV,1746064505
178,solnechnyy,50.7214,136.6319,11.8,58,100,3.33,RU,1746064506
179,mwinilunga,-11.7358,24.4293,18.02,83,82,1.1,ZM,1746064508
180,oamaru,-45.0784,170.9801,8.54,83,100,9.08,NZ,1746064509
181,pacific grove,36.6177,-121.9166,15.79,87,0,4.63,US,1746064510
182,saynshand,44.8824,110.1163,9.36,36,100,3.8,MN,1746064511
183,caleta de carquin,-11.0925,-77.6267,19.55,85,98,4.33,PE,1746064512
184,kristiansund,63.1115,7.732,6.36,93,100,4.12,NO,1746064513
185,aswan,24.0934,32.907,26.61,29,0,3.6,EG,1746064514
186,kruisfontein,-34.0033,24.7314,11.36,82,0,4.94,ZA,1746064515
187,antofagasta,-23.65,-70.4,15.6,84,81,2.48,CL,1746063963
188,nizhnyaya poyma,56.1622,97.1933,5.4,46,5,2.43,RU,1746064517
189,lourical,40.0039,-8.7374,9.12,95,0,2.77,PT,1746064518
190,limulunga,-15.0969,23.1376,20.24,63,99,1.66,ZM,1746064519
191,jamestown,42.097,-79.2353,8.8,61,0,3.09,US,1746064314
192,shar'ya,58.3686,45.5144,-2.55,88,11,1.73,RU,1746064521
193,badger,64.8,-147.5333,15.14,35,100,5.66,US,1746064522
194,pathein,16.7833,94.7333,25.47,82,100,2.39,MM,1746064523
195,la gi,10.6667,107.7833,31.31,58,100,4.39,VN,1746064524
196,juegang,32.3174,121.1855,25.47,66,100,5.03,CN,1746064390
197,panaba,21.2833,-88.2667,26.78,56,3,6.67,MX,1746064527
198,el granada,37.5027,-122.4694,16.9,83,100,7.72,US,1746064528
199,chonchi,-42.6128,-73.8092,8.95,86,64,5.08,CL,1746064529
200,nova vicosa,-17.8919,-39.3719,25.36,72,78,5.7,BR,1746064530
201,acarau,-2.8856,-40.12,25.04,89,57,3.4,BR,1746064342
202,tabou,4.423,-7.3528,25.25,89,100,3.78,CI,1746064532
203,hami,42.8,93.45,26.68,22,46,4.19,CN,1746064533
204,dawei,14.0833,98.2,28.95,74,70,1.51,MM,1746064534
205,road town,18.4167,-64.6167,26.02,83,40,3.09,VG,1746064535
206,vilyuchinsk,52.9306,158.4028,7.15,68,11,1.71,RU,1746064536
207,xilin hot,43.9667,116.0333,5.19,37,55,6.01,CN,1746064537
208,colonia,50.9333,6.95,14.41,80,0,1.03,DE,1746064491
209,ceeldheer,3.8488,47.1806,28.02,77,100,3.06,SO,1746064539
210,abepura,-2.6333,140.5833,30.45,66,20,2.06,ID,1746064541
211,lerwick,60.1545,-1.1494,10.11,96,100,6.14,GB,1746064542
212,fada,7.25,4.0667,22.92,99,100,0.82,NG,1746064543
213,wanning,18.8003,110.3967,29.37,73,44,1.7,CN,1746064544
214,klyuchi,52.2667,79.1667,9.27,41,0,1.71,RU,1746064545
215,mont-tremblant,46.1949,-74.6264,3.91,55,95,1.35,CA,1746063914
216,semera,11.501,41.201,26.7,51,100,1.78,ET,1746064547
217,kiunga,-6.1219,141.2906,31.51,58,86,1.75,PG,1746064548
218,angaur state,6.906,134.13,28.51,72,97,3.93,PW,1746064550
219,mejit,10.2753,170.8646,27.23,79,92,6.55,MH,1746064552
220,college,64.8569,-147.8028,13.97,33,75,4.12,US,1746064553
221,lan sak,15.4529,99.5761,31.11,59,25,1.88,TH,1746064554
222,tortoli,39.9256,9.6572,18.41,52,0,0.89,IT,1746064555
223,waddan,29.1614,16.139,14.05,62,3,1.22,LY,1746064556
224,xining,36.6167,101.7667,14.69,28,0,0.73,CN,1746064557
225,natal,-5.795,-35.2094,27.12,78,20,3.6,BR,1746064263
226,makarov,48.6333,142.8,5.19,70,100,6.12,RU,1746064559
227,kwang binh,17.4833,106.6,28.01,75,98,2.47,VN,1746064560
228,trofaiach,47.4167,15.0,7.37,87,55,1.23,AT,1746064561
229,wickenburg,33.9686,-112.7296,27.22,16,99,1.34,US,1746064562
230,hasaki,35.7333,140.8333,18.41,64,65,5.29,JP,1746064563
231,tangalle,6.024,80.7911,25.91,90,100,2.59,LK,1746064564
232,dogonbadan,30.3586,50.7981,20.05,37,0,0.0,IR,1746064566
233,kone,-21.0595,164.8658,27.59,52,10,3.53,NC,1746064567
234,speightstown,13.25,-59.65,27.34,76,1,4.83,BB,1746064568
235,port lincoln,-34.7333,135.8667,16.7,59,9,5.7,AU,1746064569
236,east london,-33.0153,27.9116,16.71,73,79,7.7,ZA,1746064432
237,abalak,58.1286,68.5944,7.34,64,100,4.95,RU,1746064571
238,tura,25.5198,90.2201,27.05,53,0,1.02,IN,1746064572
239,bilibino,68.0546,166.4372,-6.14,53,71,1.18,RU,1746064573
240,evanston,42.0411,-87.6901,13.49,69,100,2.57,US,1746064554
241,pombas,17.1503,-25.0201,15.25,80,35,5.18,CV,1746064575
242,lambarene,-0.7001,10.2406,23.9,97,100,0.76,GA,1746064576
243,sisimiut,66.9395,-53.6735,-1.74,96,100,8.64,GL,1746064577
244,posto fiscal rolim de moura,-13.0833,-62.2667,23.68,88,20,0.47,BR,1746064578
245,narasannapeta,18.4167,84.05,26.67,60,0,1.23,IN,1746064579
246,wailua homesteads,22.0669,-159.378,26.44,78,20,4.12,US,1746064580
247,zhangjiakou,40.81,114.8794,13.63,26,56,6.65,CN,1746064581
248,camargo,27.6667,-105.1667,23.53,9,0,4.76,MX,1746064583
249,axim,4.8699,-2.2405,26.18,85,100,2.78,GH,1746064584
250,brisas de zicatela,15.8369,-97.0419,29.25,71,0,4.56,MX,1746064585
251,kargasok,59.0556,80.8572,7.51,63,75,5.9,RU,1746064586
